Species,Avoidance,AvoidanceSD,AvoidanceLCL,AvoidanceUCL,ARs,Source
Herring Gull,0.9953173736378087,2.97930583663256e-4,0.9947041771829435,0.9958787639355138,0.995 (0; 0.995 - 0.996),Cook (2021)
Lesser Black-backed Gull,0.9950311395600264,3.4236335281551524e-4,0.9943215450573947,0.9956678692723737,0.995 (0; 0.994 - 0.996),Cook (2021)
Great Black-Backed Gull,0.999065567420149,1.802003188541067e-4,0.9986230536402593,0.9993332291948707,0.999 (0; 0.999 - 0.999),Cook (2021)
Kittiwake,0.9979000001854036,0.001298253480132961,0.9954270954039046,0.9992516409384395,0.998 (0.001; 0.995 - 0.999),Cook (2021)
Black-headed Gull,0.9874116025717814,7.413856167065569e-4,0.9858538185626833,0.9887361497309769,0.987 (0.001; 0.986 - 0.989),Cook (2021)
Common Gull,0.9997331717753288,1.9994910183744646e-5,0.9997010400677113,0.9997803704142287,1 (0; 1 - 1),Cook (2021)
Little Tern,0.9981948455056354,5.317193692477389e-5,0.9980836067347137,0.99828983523721,0.998 (0; 0.998 - 0.998),Cook (2021)
Sandwich Tern,0.9722524340693173,4.425056506646512e-4,0.971360704544917,0.9731318740004694,0.972 (0; 0.971 - 0.973),Cook (2021)
Common Tern,0.920385539361722,0.0014946892368690062,0.9177143489407174,0.9235349364636043,0.92 (0.001; 0.918 - 0.924),Cook (2021)
Small Gull,0.9920858547277872,3.92645203806341e-4,0.9913274023277187,0.9928588436979692,0.992 (0; 0.991 - 0.993),Cook (2021)
Large Gull,0.9861419586254023,6.010001805316472e-4,0.9849457038500709,0.9871859664934142,0.986 (0.001; 0.985 - 0.987),Cook (2021)
All Gull,0.9879147546356535,5.0494840704104e-4,0.9869614649113957,0.9889408659665628,0.988 (0.001; 0.987 - 0.989),Cook (2021)
All Tern,0.9713147571365301,4.4719632907901243e-4,0.9704348338845352,0.9721879070479682,0.971 (0; 0.97 - 0.972),Cook (2021)
Gulls & terns,0.986150646634681,5.186008741000364e-4,0.9851709984904439,0.9871997613965504,0.986 (0.001; 0.985 - 0.987),Cook (2021)
